school,schoolname,postalcode,address,telephone,lat,lon,public,district,city,100_Total,101_Total,102_Total,103_Total,104_Total,106_Total,107_Total,108_Total,109_Total
國小,華江國小,108.0,臺北市萬華區環河南路2段250巷42弄2號,02-2306-4352,25.0340691,121.4911815,1,萬華區,台北市,463.0,413.0,360.0,376.0,393.0,366.0,363.0,349.0,328.0
國小,大橋國小,103.0,臺北市大同區隆和里重慶北路3段2號,02-2594-4413,25.064112,121.512544,1,大同區,台北市,301.0,274.0,257.0,251.0,238.0,294.0,321.0,342.0,328.0
國小,和平實小,106.0,臺北市大安區敦南街76巷28號,02-2733-5900,25.020715,121.546668,1,大安區,台北市,,,,,,171.0,227.0,282.0,325.0
國小,文林國小,112.0,臺北市北投區建民里文林北路155號,02-2823-4212,25.1059048,121.5147443,1,北投區,台北市,474.0,430.0,390.0,382.0,359.0,329.0,349.0,333.0,323.0
國小,國立政大實小,116.0,臺北市文山區指南路三段12號,02-2939-3610,24.9848367,121.57996,1,文山區,台北市,333.0,306.0,307.0,280.0,303.0,308.0,315.0,322.0,323.0
國小,公館國小,106.0,臺北市大安區基隆路4段41巷68弄2號,02-2735-1734,25.0124078,121.5428079,1,大安區,台北市,239.0,266.0,296.0,250.0,308.0,331.0,342.0,326.0,321.0
國小,義方國小,112.0,臺北市北投區珠海路155號,02-2891-7433,25.141925,121.509816,1,北投區,台北市,326.0,292.0,258.0,259.0,253.0,279.0,298.0,311.0,318.0
國小,明道國小,116.0,臺北市文山區明興里木柵路2段138巷61號,02-2939-2821,24.9873333,121.5625578,1,文山區,台北市,444.0,386.0,350.0,341.0,291.0,251.0,258.0,269.0,313.0
國小,大佳國小,104.0,臺北市中山區大佳里6鄰濱江街107號,02-2503-5816,25.073294,121.5363674,1,中山區,台北市,202.0,218.0,240.0,211.0,244.0,272.0,281.0,288.0,306.0
國小,桃源國小,112.0,臺北市北投區中央北路3段40巷45號,02-2894-1208,25.139798,121.484371,1,北投區,台北市,313.0,299.0,275.0,263.0,262.0,281.0,297.0,285.0,293.0
國小,舊莊國小,115.0,臺北市南港區舊莊里舊莊街1段100號,02-2782-1418,25.0402449,121.619539,1,南港區,台北市,662.0,559.0,448.0,429.0,321.0,269.0,251.0,266.0,283.0
國小,博嘉實小,116.0,臺北市文山區木柵路4段159巷14號之1,02-2230-2585,25.000695,121.575404,1,文山區,台北市,139.0,143.0,145.0,154.0,172.0,257.0,263.0,264.0,281.0
國小,興德國小,116.0,臺北市文山區興邦里興隆路2段235號,02-2932-9431,25.0016222,121.5507703,1,文山區,台北市,345.0,318.0,285.0,274.0,256.0,235.0,241.0,247.0,271.0
國小,辛亥國小,116.0,臺北市文山區興昌里辛亥路4段103號,02-2935-7282,25.0064295,121.5592422,1,文山區,台北市,291.0,275.0,259.0,237.0,222.0,220.0,246.0,242.0,249.0
國小,雨聲國小,111.0,臺北市士林區岩山里至誠路1段62巷70號,02-2831-1004,25.1026617,121.5352647,1,士林區,台北市,196.0,206.0,195.0,198.0,225.0,222.0,235.0,241.0,248.0
國小,龍山國小,108.0,臺北市萬華區青山里和平西路三段235號,02-2308-2977,25.035889,121.496113,1,萬華區,台北市,406.0,368.0,348.0,338.0,297.0,256.0,244.0,232.0,233.0
"一般,國小,幼兒園,公立",育英國小,25172.0,新北市淡水區埤島里14號,02-26214390#111,25.193504,121.454059,1,淡水區,新北市,162.0,157.0,138.0,132.0,131.0,154.0,165.0,206.0,224.0
國小,指南國小,116.0,臺北市文山區指南路三段38巷5-2號,02-2939-3546,24.9763942,121.5836353,1,文山區,台北市,92.0,88.0,84.0,99.0,102.0,116.0,126.0,131.0,140.0
國小,富安國小,111.0,臺北市士林區富洲里延平北路8段135號,02-2810-3192,25.105839,121.482582,1,士林區,台北市,221.0,209.0,171.0,180.0,146.0,142.0,138.0,136.0,136.0
"一般,國小,幼兒園,公立",水源國小,251.0,新北市淡水區北新路二段15號,02-26211347#21,25.185817,121.476526,1,淡水區,新北市,178.0,153.0,144.0,132.0,127.0,115.0,129.0,128.0,124.0
國小,雙溪國小,111.0,臺北市士林區翠山里中社路2段66號,02-2841-1038,25.106052,121.563943,1,士林區,台北市,75.0,66.0,72.0,88.0,105.0,127.0,123.0,141.0,124.0
國小,陽明山國小,111.0,臺北市士林區新安里仰德大道3段61號,02-2861-6366,25.1193324,121.5528168,1,士林區,台北市,195.0,174.0,146.0,153.0,135.0,113.0,130.0,121.0,118.0
國小,大屯國小,112.0,臺北市北投區大屯里復興三路312號,02-2891-4353,25.154895,121.503983,1,北投區,台北市,103.0,101.0,104.0,102.0,113.0,112.0,117.0,117.0,116.0
國小,溪山國小,111.0,臺北市士林區溪山里至善路3段199號,02-2841-1010,25.119658,121.5796,1,士林區,台北市,87.0,113.0,92.0,100.0,80.0,80.0,113.0,117.0,114.0
"一般,國小,公立",長坑國小,249.0,249新北市八里區長坑里中華路3段236號,02-26102037#117,25.125543,121.390474,1,八里區,新北市,93.0,76.0,68.0,70.0,76.0,88.0,102.0,106.0,111.0
"一般,國小,幼兒園,公立",忠山實驗小學,251.0,新北市淡水區忠山里行忠路899號,02-26216139#831,25.200447,121.47998,1,淡水區,新北市,46.0,40.0,38.0,48.0,41.0,64.0,60.0,76.0,100.0
國小,湖山國小,112.0,臺北市北投區湖山里湖底路11號,02-2861-0148,25.150059,121.535797,1,北投區,台北市,136.0,145.0,146.0,140.0,139.0,120.0,108.0,103.0,96.0
"一般,國小,幼兒園,公立",興仁國小,251.0,251新北市淡水區興仁路101巷10號,02-26213783,25.217479,121.451097,1,淡水區,新北市,172.0,165.0,160.0,149.0,134.0,112.0,100.0,91.0,91.0
國小,泉源實小,112.0,臺北市北投區泉源里東昇路34號,02-2895-1258,25.149185,121.524203,1,北投區,台北市,92.0,90.0,90.0,92.0,68.0,65.0,71.0,72.0,78.0
國小,湖田國小,112.0,臺北市北投區湖田里竹子湖路17之2號,02-2861-6963,25.168503,121.538837,1,北投區,台北市,50.0,47.0,49.0,58.0,47.0,43.0,32.0,52.0,77.0
國小,忠義國小,100.0,臺北市中正區中華路二段307巷17號,02-2303-8752,25.02963,121.5063464,1,中正區,台北市,285.0,265.0,230.0,228.0,158.0,116.0,92.0,79.0,62.0
"一般,國小,幼兒園,公立",屯山國小,25145.0,新北市淡水區淡金路5段111號,02-28012591#831,25.237342,121.456364,1,淡水區,新北市,174.0,155.0,140.0,145.0,113.0,74.0,60.0,60.0,58.0
"一般,國小,幼兒園,公立",坪頂國小,251.0,新北市淡水區坪頂路757號,02-86263105#10,25.158093,121.483894,1,淡水區,新北市,64.0,53.0,54.0,56.0,54.0,65.0,61.0,67.0,58.0
國小,平等國小,111.0,臺北市士林區平等里平菁街101號,02-2861-0503,25.129431,121.576643,1,士林區,台北市,81.0,72.0,67.0,68.0,61.0,58.0,61.0,56.0,55.0
"一般,國小,幼兒園,公立",中泰國小,251.0,新北市淡水區中和里北勢子五號,02-28012033#130,25.224056,121.48465,1,淡水區,新北市,61.0,56.0,52.0,55.0,42.0,43.0,41.0,41.0,45.0
"一般,國小,公立",淡海國小,251.0,新北市淡水區淡海路72巷21號(崁頂三路1號),02-28051698,25.177349,121.424655,1,淡水區,新北市,,,,,,,,,
